a_i,Arrival/Release time
Average Response time,
C_i,Computation time
D_i,Relative deadline
d_i,Absolute deadline
f_i,Finishing time
Feasible schedule,all tasks in the schedule complete before their deadline: ∀i Ri ≤ Di
Maximum lateness,
Maximum number of late tasks,mit miss = 0 wenn rechtzeitig. Sonst 1
Offline Scheduling,"Scheduling decisions taken offline

before execution"
Online Scheduling,"Scheduling decisions taken online

during Execution"
R_i,Response time
s_i,Start time
Schedulability Test,Checks if a task set is schedulable with a given algorithm
Schedulable task-set,∃ scheduling algorithm which produces a feasible schedule
Schedule,"Zuweisung Task -> Prozeesor
Alle tasks laufen bis zum Ende"
Scheduling Algorithm,"Satz von Regeln, um die Reihenfolge der auszuführenden Aufgaben zu bestimmen"
Scheduling Policy,"Kriterium, um zu entscheiden, welche Aufgabe ausgeführt werden soll"
Total completion time,Spätester Abschluss mit erster Anfang
Unterschied absolute vs relative Deadline,"Relativ: gegen a_i
Absolut: gegen 0"
Vor/Nachteile Offline Scheduling,"- Inflexible, but very predictable 
- Offline computation → online table"
Vor/Nachteile Online Scheduling,"- Flexible
- Less predictable
- Online algorithm → higher runtime overhead"
Was sind hier die precedence constraints,"Erst J_1 dann J_2 und J_3

Nach J_2 dann J4
Nach J_2 und J_3 dann J_5"
Weighted sum of completion times,
Wie berechne ich L_i,L_i = f_i - d_i
Wie berechne ich R_i,R_i = f_i - a_i
Aperiodic Scheduling with asynchronous Release Times,"- Tasks are executed once (job scheduling) 
- Tasks are released at arbitrary times
- No task dependencies or resource sharing 
- Single processor
- Non-preemptive
- Problem is NP-Hard → No optimal online algorithm"
Bratley’s Algorithm,"Branch-and-Bound algorithm:
- Start with an empty schedule 
- Add task to schedule
- If deadline miss → abandon branch 
- If all tasks scheduled → stop search

*!!* Immer ganzen Baum aufzeichnen *!!*

- Efficient in the average, exponential in the worst-case"
EDD Schedulability-Test,"Tasks sind mit ihrem Index abhängig von der Deadline sortiert
i < j: di ≤ dj

Finishing time: f_i=∑_k=1^i C_k

Schedulable if:∀i:f_i≤d_i

Also alle tasks mit niedrigerem index und der Task selber ausgeführt werden kann"
Geht auch nicht-präemptives EDF,"Nein, da es keinen Algorithmus gibt, der mit unbekanntenarrival Times feststellen kann, ob er Ideln soll"
Horn’s Rule,"Gegeben:
- Gegebene Menge von n unabhängigen Aufgaben
- Beliebige Ankunftszeiten
Algorithmus is optimal, wenn
- Führt ständig die Aufgabe mit der frühesten absoluten Deadline aus
—> Minimiert die maximale Lateness (L_max)"
Jackson’s Rule,"Tasks in der Reihenfolge ihrer absoluten deadlines ist optimal in Bezug auf der maximum Lateness

deadline kleiner -> frühere Ausführung"
Summary Aperiodic Scheduling,"| | synchronous | asynchronous preemptive | aynchronous non-preemptive |
| --- | --- | --- | --- |
| independent | **EDD** O(n logn) | **EDF** O(n2) | **Tree Search** |
| precedence constrains | **LDF** O(n2) | **EDF\* ** O(n2) | **Tree Search** O(nn!) |"
Was ist EDD,"- Earliset Deadline Due
- Der task mit der geringsten absoluten Deadline wird als erstes ausgeführt"
Was ist EDF,"- Earlistest Deadline First
- Führt immer den Task mit der Frühesten absoluten Deadline aus
- preemptive"
Was ist EDF* und wie funktioniert es?,"- Earlist deadline First

Taskset so umbauen, dass precedence constraints in den Deadlines berücksichtigt werden und dann EDF schedulen

## Algorythmus
a muss vor b ablaufen
r_b’ = max(r_b, r_a + C_a)

d_b’ = min(d_a, d_b - C_b)

### Teilschritt release times

1. for any initial node of the graph, set r’_i = r_i
2. Select task J_i such that: r_I not modified, but all predecessors have been modified
- If no such task exist, finish
- r_i' = max(r_i ,max (pred_J_h(r_h'+C_h))
3. Return to 2.

### Teilschritt Deadlines

1. For any terminal node of the graph, set d’_i = d_i
2. Select task J_i such that: d_I not modified, but all immediate successors have been modified
- If no such task exist, finish.
- Set d_i '=min(d_i ,min(suc J_h(d_h−C_h))
3. Return to 2"
Wie schedule ich aperiodisch mit precedence Constraints,"- Latest Deadline First

## Algorithm
- Chose sink-node J_i with latest deadline
- Schedule J_i last
- Remove J_i from Graph 
- von vorne"
Arbitrary Deadlines,tasks deadlines may be later than next task release
Constrained Deadlines,"some tasks must finish an arbitrary time before its next release

D_i ≤ T_i"
"d_i,k","- Relative Deadline
- So for each instance

d_ik = r_ik + D_i"
"f_i,k","Finishing time of job τ_i,k"
Hyperperiod,"H = lcm(T_1,…T_n)

- High for arbitrary periods 
- Low for harmonic periods
	∀i, j:Ti/T j∈N∨T j/Ti∈N"
Implicit Deadlines,"each task must finish before its next release

D_i = T_i"
Job schedulable,"if R_i,k ≤ D_i"
O_i,"Offset

O_i = r_i,1"
Periodic,"task releases are periodic with a jitter Ji

 r_i,k+1 = r_i,k + T_i + [-J_i:J_i]"
